Positive Comments	Negative Comments
Sir Daniel is an effective teacher and communicator. During classes, he explains and elaborates the lesson in a way that it is easier to understand allowing us to grasp the lesson in an easier manner. I also like his method of teaching wherein he does not maximize the 3-hour session to overload us with the lessons, instead he divides the those into parts and he makes sure that each lesson won't exceed 2 hours at maximum.	I don't have any negative remarks for Sir Daniel.
Indeed Ms. Mariano is a responsible type of instructor and will elaborate or explain the lesson in a way we can much understand and gain more knowledge about it.	As of now, I don't have any negative comments since the characteristics of an instructor should have is can be seen in Ms. Mariano.
Ma'am Shanne is such a jolly a teacher, and I like it. With her, I feel enjoyment during the lessons since I can also see that she is enjoying while teaching us. I also like her method of teaching wherein she teaches us the lessons in a step-by-step way. Hence, we understand the lessons more easily.	I have no any negative remarks about Ma'am Shanne.
She discusses all the topics and explaining everything.	None
#NAME?	none
She discusses all the topics and explaining everything.	None
we're learning in a fun way	so far, none
Patient and understanding	So far, there are no negative comments that I can give to the instructor.
She is good. If we are confused on the lesson, she will repeat it again and will answer all of our questions.	So far, none.
straight to the point, professional, and somehow considerate.	none so far
She's a good instructor and easy to approach.	She's quite quick when it comes to discussion po. I kinda can't cope up.
He's good at sharing thoughts about the lesson even in hand gestures to give what his thoughts that you can say he like what he doing as an instructor	I think , none because he's so good instructor.
She always asks us if we understand the lesson well before proceeding to the next topic.	None.
My instructor is good on teaching and she is not boring because she throw some punchline that I can entertain. In addition she is my favourite instructor because I love math.	None
Good at explaining the lessons clearly making it easily to understand.	Nothing
G_07 is an organized and responsible instructor that students like me really appreciate to have. He is understanding, compassionate, and professional.	None.
